passenger_count,tip_amount,total_amount
1.0,1.14,23.84
1.0,3.56,21.36
1.0,1.0,30.0
1.0,0.0,25.1
1.0,18.83,112.98
1.0,16.46,98.76
2.0,3.84,23.04
1.0,9.02,54.12
1.0,0.0,10.1
1.0,4.25,25.55
1.0,3.7,22.2
1.0,3.0,40.4
1.0,20.0,66.8
1.0,2.95,55.0
2.0,2.0,20.5
1.0,2.02,12.12
2.0,4.4,26.4
2.0,3.0,22.9
1.0,15.32,91.92
2.0,0.0,10.1
2.0,0.0,14.3
1.0,12.59,77.29
1.0,2.0,28.2
1.0,5.0,87.3
4.0,16.11,96.66
2.0,4.9,29.4
3.0,3.5,21.0
3.0,2.66,15.96
1.0,0.0,74.0
1.0,3.28,19.68
1.0,2.72,16.32
1.0,3.18,34.98
1.0,0.0,23.4
1.0,1.72,13.22
1.0,16.46,98.76
2.0,1.77,14.67
1.0,1.5,16.5
1.0,3.14,18.84
1.0,0.0,17.8
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,2.2,24.2
1.0,0.0,14.3
1.0,4.71,20.41
1.0,8.4,38.15
1.0,0.0,31.1
1.0,16.11,98.41
1.0,3.0,29.9
1.0,5.52,33.12
1.0,6.36,38.16
2.0,4.0,33.0
1.0,3.7,22.2
1.0,3.0,55.1
2.0,3.0,30.6
2.0,2.58,15.48
1.0,0.0,13.6
4.0,3.0,18.0
1.0,0.0,77.25
1.0,2.6,33.0
1.0,1.0,32.1
4.0,7.3,43.8
2.0,2.0,28.95
1.0,7.26,45.31
1.0,0.01,19.21
1.0,7.24,47.44
1.0,1.5,20.3
3.0,2.3,13.8
1.0,0.0,42.3
1.0,0.0,-12.9
1.0,0.0,12.9
1.0,4.54,27.24
1.0,2.83,18.53
0.0,9.3,55.8
1.0,5.8,34.8
4.0,4.68,28.08
1.0,3.0,18.0
1.0,2.5,19.6
1.0,3.0,14.5
3.0,2.5,28.0
1.0,6.2,31.0
1.0,0.0,37.4
1.0,0.0,12.9
0.0,3.0,18.0
0.0,0.0,23.4
0.0,0.0,38.8
2.0,3.0,21.5
1.0,4.54,27.24
1.0,1.0,48.9
0.0,0.0,19.9
1.0,0.0,26.9
1.0,0.0,40.2
1.0,4.3,21.4
1.0,2.85,17.15
1.0,5.7,28.4
1.0,0.0,30.4
1.0,0.0,13.6
4.0,3.87,16.77
1.0,0.0,9.4
1.0,0.0,11.5
1.0,3.55,21.35
