passenger_count,tip_amount,total_amount
1.0,3.86,23.16
1.0,5.0,31.3
2.0,17.45,104.75
2.0,11.49,70.69
2.0,3.02,18.12
1.0,2.0,20.6
1.0,3.16,18.96
1.0,4.56,27.36
1.0,0.0,18.6
2.0,0.0,27.0
2.0,0.0,15.1
1.0,4.4,26.5
1.0,0.0,16.5
1.0,2.0,24.8
1.0,3.4,20.6
1.0,3.0,18.1
1.0,3.72,22.32
2.0,18.55,80.55
1.0,0.0,10.9
1.0,4.25,25.65
1.0,5.4,32.4
1.0,4.98,29.88
1.0,2.46,14.76
1.0,3.72,22.32
1.0,7.22,43.32
1.0,2.0,22.7
1.0,2.88,17.28
1.0,2.68,20.58
1.0,6.21,26.91
1.0,1.11,19.01
1.0,2.0,27.6
1.0,4.42,26.52
1.0,2.0,26.2
1.0,6.0,26.0
1.0,0.0,13.0
1.0,4.0,59.3
3.0,0.0,18.6
1.0,8.6,51.7
1.0,2.0,15.0
1.0,4.98,29.88
1.0,3.58,21.48
2.0,3.72,22.32
2.0,5.82,34.92
2.0,3.0,30.0
1.0,0.0,20.0
1.0,4.3,18.7
1.0,6.9,34.6
1.0,0.0,36.1
1.0,3.9,16.9
1.0,7.78,46.68
1.0,2.2,13.1
2.0,0.0,17.9
1.0,3.0,16.7
1.0,3.3,19.8
1.0,7.45,37.25
1.0,11.86,72.91
1.0,1.0,23.1
1.0,0.0,12.3
1.0,3.0,18.1
1.0,3.0,22.3
1.0,4.4,26.5
1.0,4.3,21.5
3.0,4.0,38.0
1.0,4.25,25.65
1.0,3.0,31.4
1.0,3.21,24.61
1.0,3.16,18.96
1.0,3.85,23.15
1.0,3.55,21.45
1.0,3.42,26.22
1.0,1.48,13.78
1.0,0.3,16.1
1.0,3.0,23.0
1.0,0.0,43.75
6.0,5.16,22.36
6.0,0.0,9.5
1.0,2.9,22.2
1.0,0.0,179.35
1.0,2.74,16.44
1.0,4.0,24.0
1.0,0.0,13.0
1.0,3.3,19.8
1.0,1.5,19.4
1.0,3.95,19.75
3.0,8.94,38.74
1.0,3.02,18.12
1.0,5.26,31.56
5.0,0.0,22.8
5.0,3.02,18.12
5.0,2.88,17.28
1.0,11.25,67.6
1.0,3.0,23.0
1.0,2.6,15.6
1.0,0.0,22.8
1.0,3.95,19.75
1.0,2.14,23.54
2.0,3.58,21.48
1.0,2.85,17.25
1.0,0.0,10.9
1.0,0.0,25.6
1.0,12.72,97.52
1.0,2.5,22.5
1.0,4.32,18.72
1.0,1.2,12.8
1.0,3.02,18.12
3.0,2.74,16.44
2.0,3.86,23.16
2.0,0.0,22.1
1.0,3.72,22.32
