passenger_count,tip_amount,total_amount
1.0,1.5,14.1
1.0,2.66,15.96
1.0,0.0,4.5
1.0,0.0,-4.5
1.0,0.0,4.5
4.0,0.0,82.69
2.0,1.95,11.75
2.0,3.0,27.5
1.0,4.9,29.4
1.0,0.0,-127.44
1.0,0.0,127.44
2.0,0.0,10.5
2.0,2.1,12.6
1.0,4.35,21.85
2.0,4.34,26.04
1.0,2.66,15.96
2.0,1.2,13.8
2.0,1.0,17.4
1.0,4.05,24.35
1.0,10.0,248.27
2.0,0.0,32.2
1.0,0.0,9.8
2.0,4.48,26.88
1.0,1.0,14.3
1.0,7.95,34.55
4.0,5.18,31.08
3.0,5.0,40.7
1.0,1.0,14.3
1.0,2.35,14.25
1.0,4.0,83.05
1.0,2.35,14.25
1.0,1.0,11.5
1.0,1.3,10.0
1.0,12.33,75.72
1.0,5.08,25.38
1.0,0.0,62.94
2.0,29.15,175.05
1.0,4.0,13.8
1.0,2.0,15.3
1.0,0.0,10.5
1.0,3.36,20.16
1.0,0.0,9.8
1.0,0.0,11.2
2.0,1.5,12.7
4.0,0.0,25.2
1.0,15.15,90.9
1.0,2.0,16.7
1.0,1.0,12.9
0.0,0.0,17.5
1.0,0.0,17.5
1.0,2.25,13.45
1.0,3.78,22.68
1.0,0.0,9.8
2.0,3.05,18.45
1.0,1.0,11.5
2.0,0.0,9.8
1.0,0.0,17.2
1.0,4.06,24.36
1.0,2.52,15.12
1.0,1.0,56.05
1.0,6.47,32.37
1.0,1.0,12.9
1.0,2.35,14.25
1.0,0.0,16.1
1.0,2.66,15.96
1.0,14.8,90.55
1.0,2.52,19.32
3.0,7.28,43.68
2.0,0.0,82.69
1.0,2.0,69.59
1.0,0.0,12.2
0.0,3.9,23.5
1.0,5.0,87.69
1.0,5.6,33.6
1.0,0.0,14.0
1.0,0.0,13.3
1.0,5.74,34.44
1.0,4.97,54.66
1.0,11.9,71.44
2.0,8.0,49.35
2.0,3.32,19.12
2.0,10.5,63.0
2.0,4.2,25.2
4.0,2.24,13.44
1.0,0.0,26.6
2.0,0.0,15.4
1.0,2.0,17.4
1.0,2.52,15.12
1.0,2.0,11.8
