passenger_count,tip_amount,total_amount
2.0,0.0,13.0
1.0,2.6,15.6
1.0,2.7,16.4
1.0,7.25,36.35
1.0,5.0,73.34
1.0,4.56,27.36
1.0,7.97,39.87
1.0,0.0,24.9
1.0,0.0,12.6
1.0,1.0,16.8
1.0,3.72,22.32
1.0,0.0,29.1
1.0,6.66,39.96
1.0,0.0,15.8
1.0,0.0,14.4
1.0,5.0,25.0
1.0,0.0,17.2
1.0,7.45,37.25
1.0,3.0,30.0
1.0,8.34,50.04
1.0,3.32,25.42
1.0,4.0,24.0
1.0,2.48,18.98
1.0,0.0,19.3
1.0,17.46,104.76
1.0,11.01,67.8
1.0,2.0,18.5
1.0,2.85,17.25
1.0,3.3,19.8
1.0,1.0,19.6
1.0,3.0,21.6
1.0,1.0,29.4
2.0,3.2,23.2
1.0,7.08,42.48
1.0,2.9,39.0
1.0,0.0,87.69
1.0,3.16,18.96
1.0,2.0,28.3
1.0,5.54,33.24
1.0,0.0,18.7
1.0,11.57,71.16
2.0,0.0,-9.5
2.0,0.0,9.5
1.0,21.48,107.42
1.0,0.0,15.1
1.0,2.0,18.5
1.0,3.0,19.5
1.0,2.88,17.28
3.0,0.0,31.9
1.0,2.0,18.5
1.0,0.0,15.8
1.0,3.3,19.8
1.0,0.0,15.8
1.0,2.18,13.08
1.0,4.3,21.5
1.0,0.0,43.64
1.0,0.0,70.09
1.0,3.02,18.12
1.0,2.46,14.76
1.0,0.0,54.29
1.0,1.23,13.53
2.0,4.47,34.27
2.0,4.14,24.84
1.0,2.85,17.25
1.0,5.8,34.9
1.0,5.0,25.0
1.0,4.83,24.13
3.0,2.0,17.8
3.0,5.82,34.92
1.0,3.02,18.12
1.0,0.0,17.2
1.0,0.0,20.7
1.0,15.0,98.65
1.0,13.95,85.44
1.0,3.0,20.2
1.0,4.98,29.88
1.0,0.0,20.0
1.0,5.85,29.35
1.0,6.1,36.6
1.0,0.0,13.7
1.0,3.16,18.96
2.0,8.41,64.5
1.0,2.5,25.3
2.0,2.07,22.77
1.0,1.65,18.15
3.0,1.6,16.0
3.0,0.0,12.3
1.0,3.28,24.68
1.0,0.0,14.4
1.0,0.0,17.2
1.0,3.44,20.64
1.0,0.0,22.8
1.0,0.0,35.4
1.0,0.0,64.1
1.0,4.1,24.8
2.0,0.0,64.49
2.0,2.74,16.44
1.0,4.74,20.54
1.0,5.42,41.52
1.0,2.37,18.17
1.0,2.16,16.56
3.0,5.0,73.94
1.0,1.44,15.84
1.0,2.9,14.5
3.0,4.15,20.65
1.0,0.0,13.0
1.0,3.0,20.2
1.0,7.05,42.45
2.0,0.0,20.0
1.0,2.6,15.6
4.0,4.14,24.84
1.0,2.6,15.6
4.0,6.24,37.44
1.0,0.0,104.75
2.0,19.75,98.75
1.0,5.12,30.72
1.0,3.86,23.16
1.0,4.1,20.6
1.0,10.78,53.88
1.0,1.5,15.2
1.0,6.6,32.9
2.0,20.0,83.85
1.0,0.0,48.0
1.0,0.0,24.2
1.0,0.0,27.0
1.0,4.14,24.84
1.0,0.0,11.6
1.0,2.74,16.44
1.0,3.16,18.96
1.0,0.0,24.2
1.0,0.0,19.7
2.0,11.48,57.38
2.0,5.26,31.56
1.0,2.0,17.8
0.0,0.0,21.4
1.0,3.95,19.75
1.0,2.6,15.6
1.0,4.7,28.2
1.0,1.0,15.4
4.0,2.88,17.28
