passenger_count,tip_amount,total_amount
1.0,5.0,102.75
1.0,0.1,45.15
1.0,12.0,96.0
1.0,2.15,12.95
1.0,2.0,25.4
1.0,0.0,43.0
1.0,0.0,31.0
1.0,11.05,66.3
1.0,6.0,36.0
1.0,0.0,19.2
1.0,2.58,15.48
1.0,2.44,14.64
4.0,0.0,12.9
1.0,0.0,42.3
1.0,0.0,13.6
1.0,0.0,40.9
1.0,0.0,15.4
1.0,0.0,66.75
1.0,0.0,14.3
1.0,3.05,15.25
1.0,1.0,11.1
3.0,0.0,80.94
1.0,5.5,33.1
1.0,6.36,38.16
0.0,1.47,16.17
1.0,4.62,23.12
1.0,1.06,22.36
1.0,3.6,39.6
1.0,6.64,39.84
1.0,2.14,16.44
1.0,10.0,90.19
1.0,0.0,60.94
1.0,0.0,25.7
1.0,0.0,13.6
1.0,2.0,14.2
1.0,2.58,15.48
1.0,10.43,62.57
1.0,0.0,31.75
1.0,3.0,15.2
1.0,0.0,12.9
1.0,0.0,75.75
4.0,4.12,24.72
1.0,0.0,8.0
1.0,0.0,-63.5
1.0,0.0,63.5
1.0,2.0,14.9
1.0,0.0,15.0
1.0,3.0,18.0
6.0,0.0,40.2
6.0,2.3,13.8
6.0,2.16,12.96
1.0,2.8,16.8
1.0,4.08,17.68
2.0,2.58,15.48
1.0,0.0,10.8
1.0,2.16,12.96
1.0,0.0,58.94
1.0,0.0,45.75
1.0,2.44,14.64
1.0,2.0,22.55
1.0,2.0,15.6
1.0,10.0,90.55
2.0,10.0,92.69
2.0,0.0,83.44
1.0,0.0,12.2
2.0,14.57,95.51
1.0,5.5,27.5
2.0,3.66,15.86
1.0,7.95,39.75
1.0,0.0,10.8
1.0,3.0,18.0
1.0,0.0,43.7
1.0,2.0,12.1
1.0,4.3,21.4
1.0,0.0,18.5
1.0,1.0,16.7
1.0,2.3,13.8
1.0,1.0,20.9
2.0,0.0,28.3
1.0,2.13,23.43
1.0,1.0,12.5
1.0,2.86,17.16
1.0,0.0,16.4
1.0,0.0,16.4
1.0,0.0,22.0
1.0,1.5,22.1
1.0,2.44,14.64
1.0,4.96,29.76
1.0,16.05,96.24
1.0,13.23,79.37
1.0,0.0,23.4
1.0,3.05,18.45
1.0,0.0,15.4
1.0,0.0,9.8
1.0,1.0,11.8
1.0,16.11,96.66
1.0,3.0,18.0
1.0,3.42,20.52
1.0,0.0,10.8
1.0,5.0,35.4
1.0,9.3,55.75
2.0,17.0,99.69
1.0,0.0,44.35
1.0,12.2,73.35
1.0,5.0,44.8
1.0,2.0,25.1
1.0,0.0,79.94
1.0,3.4,17.0
2.0,7.77,81.77
1.0,1.0,16.0
2.0,5.0,85.94
1.0,0.0,22.0
1.0,16.19,98.88
1.0,0.0,10.8
1.0,0.0,13.6
1.0,1.0,12.8
1.0,0.0,47.94
1.0,5.24,31.44
1.0,5.13,22.23
1.0,1.0,23.7
1.0,10.57,63.41
1.0,16.19,97.13
1.0,5.0,17.9
0.0,4.0,18.0
1.0,0.0,16.4
1.0,0.0,12.9
1.0,2.72,16.32
2.0,0.0,8.7
