passenger_count,tip_amount,total_amount
1.0,2.88,17.28
1.0,3.3,19.8
1.0,2.0,13.6
1.0,3.95,19.75
1.0,3.72,22.32
1.0,0.0,20.7
1.0,2.0,14.3
1.0,3.0,27.2
1.0,3.16,18.96
1.0,2.0,17.1
1.0,1.0,12.6
1.0,0.0,15.8
1.0,0.0,18.6
1.0,1.3,18.5
1.0,1.5,12.4
1.0,4.56,27.36
1.0,5.78,30.63
1.0,0.0,24.9
1.0,3.02,18.12
3.0,1.5,18.0
2.0,2.15,13.05
1.0,2.0,18.5
2.0,0.0,14.4
2.0,5.96,35.76
2.0,4.56,27.36
1.0,6.92,34.62
1.0,0.0,16.5
1.0,2.0,17.1
1.0,5.17,25.87
1.0,2.74,16.44
1.0,3.08,15.38
1.0,3.86,23.16
1.0,4.14,24.84
2.0,3.72,22.32
2.0,2.0,15.7
1.0,2.88,17.28
1.0,6.0,65.95
1.0,2.59,16.99
1.0,3.3,19.8
1.0,7.25,31.45
1.0,2.0,20.6
1.0,2.0,20.6
3.0,0.0,64.1
1.0,2.0,17.1
4.0,2.6,15.6
4.0,2.74,16.44
2.0,21.39,108.69
1.0,7.75,46.7
1.0,2.0,22.0
1.0,3.16,18.96
1.0,1.0,18.9
1.0,3.0,22.3
1.0,2.0,21.3
3.0,4.14,24.84
1.0,3.58,21.48
1.0,2.3,13.9
2.0,17.11,104.41
1.0,0.0,59.85
1.0,2.6,31.0
1.0,2.74,16.44
1.0,0.0,13.7
1.0,11.37,68.22
1.0,1.0,14.0
1.0,3.02,18.12
2.0,0.0,22.8
2.0,3.72,22.32
1.0,3.0,23.0
2.0,4.1,24.8
1.0,6.22,31.12
1.0,0.0,14.4
1.0,0.0,26.35
1.0,2.0,25.5
1.0,1.0,24.5
1.0,5.68,34.08
1.0,4.7,28.2
1.0,9.99,43.29
1.0,4.48,22.38
3.0,4.42,26.52
3.0,0.0,27.7
4.0,2.88,17.28
2.0,0.0,17.9
1.0,0.0,18.6
1.0,3.16,18.96
1.0,3.6,23.6
1.0,2.46,14.76
3.0,0.0,33.3
1.0,5.0,25.0
1.0,0.0,15.1
1.0,6.63,28.73
1.0,0.0,45.9
1.0,3.25,16.25
1.0,17.0,186.0
2.0,5.3,26.7
2.0,3.44,20.64
3.0,3.0,25.8
1.0,4.7,28.2
1.0,2.18,13.08
1.0,8.31,36.01
2.0,2.48,18.98
1.0,1.0,12.6
1.0,2.0,15.7
4.0,4.84,29.04
1.0,2.74,16.44
1.0,2.6,15.6
1.0,4.7,28.2
2.0,2.32,13.92
1.0,4.0,24.0
1.0,3.58,21.48
1.0,5.12,30.72
1.0,2.5,48.4
1.0,0.05,82.2
3.0,12.65,76.0
1.0,5.0,59.25
1.0,0.0,14.4
1.0,0.0,21.4
1.0,0.0,29.8
1.0,0.0,44.8
1.0,2.85,17.25
1.0,0.0,16.5
1.0,5.25,31.55
1.0,2.74,16.44
1.0,0.0,18.6
1.0,1.65,18.15
1.0,0.0,102.8
1.0,4.56,27.36
1.0,3.25,16.25
1.0,3.58,21.48
1.0,0.04,13.74
1.0,5.0,25.0
1.0,3.63,27.83
1.0,4.74,20.54
2.0,2.32,13.92
2.0,2.74,16.44
2.0,5.88,29.38
1.0,0.0,20.0
1.0,2.0,15.7
1.0,2.46,14.76
1.0,1.5,15.2
0.0,3.04,20.94
0.0,3.44,20.64
2.0,4.55,27.35
1.0,0.0,16.5
1.0,3.6,18.0
2.0,4.1,24.8
3.0,0.0,10.9
2.0,4.0,24.0
4.0,0.0,40.3
4.0,0.0,34.0
1.0,5.96,35.76
1.0,0.0,18.6
1.0,2.97,19.47
1.0,4.84,29.04
1.0,2.74,16.44
1.0,1.0,13.3
1.0,3.0,18.1
0.0,6.0,38.6
2.0,5.4,32.4
1.0,4.0,24.0
1.0,0.0,27.7
1.0,2.0,21.3
1.0,3.44,20.64
1.0,4.84,29.04
1.0,0.0,15.1
1.0,0.0,18.6
1.0,2.5,19.7
1.0,6.24,37.44
1.0,3.86,23.16
2.0,4.7,28.2
1.0,5.35,26.75
1.0,2.18,13.08
1.0,3.77,18.87
1.0,3.44,20.64
1.0,2.34,15.34
1.0,2.88,17.28
1.0,2.46,14.76
1.0,2.0,16.4
1.0,4.95,21.45
1.0,2.88,17.28
1.0,1.0,15.4
5.0,5.12,30.72
1.0,15.94,81.44
1.0,0.0,20.0
1.0,4.32,18.72
1.0,3.48,15.08
1.0,8.62,51.72
1.0,7.05,30.55
1.0,0.0,29.4
1.0,3.22,19.32
2.0,2.8,16.8
2.0,3.0,19.8
1.0,3.08,18.48
3.0,0.0,17.5
2.0,2.5,20.0
2.0,0.0,7.3
1.0,16.11,96.66
3.0,10.7,46.4
1.0,1.0,14.7
2.0,0.0,55.3
1.0,13.5,82.75
1.0,0.0,9.8
1.0,3.36,20.16
1.0,2.0,18.8
1.0,0.0,11.9
1.0,3.08,18.48
1.0,10.08,60.48
1.0,0.01,23.11
1.0,7.0,42.0
1.0,5.55,27.95
1.0,3.0,36.6
1.0,3.64,21.84
1.0,7.42,44.52
2.0,0.0,82.3
2.0,0.0,39.9
1.0,8.73,39.58
2.0,0.0,20.3
1.0,0.0,32.2
1.0,6.85,41.15
1.0,2.2,13.4
1.0,0.0,9.1
1.0,4.06,24.36
1.0,1.68,10.08
1.0,5.4,27.1
1.0,2.5,15.1
1.0,0.0,19.6
1.0,4.2,25.2
1.0,0.0,11.9
1.0,1.65,10.05
1.0,0.0,11.2
1.0,0.0,11.9
1.0,17.4,104.5
1.0,4.5,48.6
1.0,0.0,9.8
1.0,2.94,17.64
1.0,2.62,13.12
1.0,0.0,9.1
1.0,0.0,11.9
1.0,0.0,25.2
1.0,3.15,13.65
1.0,2.52,15.12
1.0,3.0,37.3
1.0,3.22,19.32
2.0,1.82,10.92
2.0,2.1,12.6
2.0,2.0,15.3
3.0,0.0,9.8
2.0,2.52,15.12
2.0,5.04,55.44
6.0,0.0,10.5
6.0,7.14,42.84
1.0,5.0,87.3
1.0,5.46,32.76
1.0,0.0,15.4
1.0,2.52,15.12
1.0,3.3,21.55
0.0,0.0,37.1
1.0,3.78,22.68
1.0,0.0,9.8
1.0,0.0,11.2
3.0,3.0,20.5
6.0,7.42,44.52
1.0,0.0,31.5
1.0,14.8,90.55
1.0,2.0,18.8
1.0,2.0,12.5
1.0,1.58,12.08
1.0,2.94,17.64
1.0,0.0,37.1
1.0,0.0,48.25
1.0,1.46,12.66
3.0,0.0,16.1
1.0,3.0,34.5
1.0,6.02,36.12
1.0,0.0,36.4
1.0,4.6,27.7
1.0,6.44,38.64
2.0,13.93,85.33
1.0,0.0,44.8
2.0,0.0,14.7
3.0,4.62,27.72
3.0,1.0,13.6
2.0,0.0,37.8
1.0,3.36,20.16
1.0,0.0,13.3
1.0,2.1,12.6
1.0,2.66,15.96
1.0,10.0,53.4
1.0,9.1,54.6
1.0,3.5,21.0
1.0,3.08,18.48
1.0,3.5,21.0
1.0,2.0,16.0
1.0,0.0,9.8
1.0,0.0,9.1
2.0,0.0,29.4
1.0,3.64,21.84
1.0,6.72,29.12
1.0,2.38,14.28
4.0,0.0,29.4
1.0,2.45,12.25
3.0,5.7,34.4
2.0,0.6,9.0
1.0,6.0,51.2
1.0,14.71,73.56
1.0,16.11,98.41
2.0,5.32,31.92
2.0,2.1,12.6
2.0,0.0,10.5
2.0,3.0,32.4
2.0,4.9,29.4
1.0,1.96,11.76
1.0,0.0,17.5
1.0,4.9,24.5
1.0,0.0,12.6
1.0,2.35,14.25
1.0,2.0,17.4
2.0,6.8,40.8
1.0,2.66,15.96
1.0,2.1,12.6
1.0,5.0,42.1
1.0,7.14,42.84
1.0,1.0,15.0
1.0,5.0,30.9
1.0,5.6,33.6
1.0,0.0,59.55
1.0,0.0,14.0
1.0,2.0,17.4
1.0,2.24,13.44
1.0,0.0,16.8
1.0,0.0,65.45
1.0,0.0,19.6
1.0,2.38,14.28
1.0,3.5,21.0
2.0,2.24,13.44
0.0,16.45,98.75
1.0,3.22,19.32
1.0,3.0,33.8
5.0,3.0,23.3
5.0,5.0,36.5
1.0,5.04,17.64
1.0,0.0,11.9
1.0,2.38,14.28
2.0,4.0,13.1
1.0,0.0,11.9
1.0,4.05,24.35
2.0,2.1,12.6
2.0,1.78,13.68
1.0,7.42,44.52
1.0,3.64,21.84
1.0,2.0,15.3
1.0,4.76,28.56
1.0,0.0,-28.0
1.0,0.0,28.0
1.0,0.0,11.2
1.0,6.48,32.38
1.0,2.94,17.64
1.0,3.5,21.0
1.0,0.0,10.5
1.0,0.0,28.7
5.0,0.0,14.7
5.0,8.12,48.72
2.0,2.77,18.17
1.0,1.58,12.08
1.0,0.0,10.5
1.0,1.54,9.24
1.0,2.1,12.6
1.0,0.0,20.0
1.0,2.0,14.6
1.0,4.38,21.88
1.0,3.15,13.65
1.0,0.0,27.3
1.0,4.45,26.85
1.0,3.01,33.11
1.0,0.0,16.1
1.0,2.0,29.3
1.0,5.88,35.28
1.0,0.0,41.0
1.0,3.36,20.16
1.0,5.6,28.0
2.0,0.0,24.5
1.0,0.0,9.8
1.0,2.24,13.44
1.0,4.9,29.4
3.0,4.2,25.2
3.0,2.42,18.52
1.0,2.8,16.8
1.0,7.28,43.68
5.0,0.0,31.5
5.0,0.0,18.2
5.0,0.0,13.3
1.0,4.38,21.88
1.0,2.0,25.1
2.0,2.8,16.8
1.0,0.0,11.2
2.0,1.0,16.1
2.0,5.32,31.92
1.0,3.92,23.52
1.0,5.74,34.44
4.0,2.94,17.64
1.0,3.64,21.84
1.0,3.78,22.68
1.0,0.0,16.1
1.0,0.0,9.8
1.0,2.24,13.44
2.0,3.78,22.68
1.0,0.0,19.0
2.0,4.41,19.11
2.0,0.0,11.2
3.0,0.0,28.7
1.0,0.0,26.6
1.0,3.36,20.16
1.0,6.16,36.96
1.0,6.3,31.5
2.0,0.0,55.3
1.0,5.46,23.66
2.0,16.11,98.41
1.0,1.0,12.9
1.0,0.0,16.1
1.0,2.66,15.96
1.0,3.92,23.52
1.0,7.7,38.5
1.0,4.75,28.55
1.0,2.1,12.6
1.0,3.05,18.45
1.0,6.1,30.6
1.0,10.65,53.35
4.0,2.0,19.5
1.0,2.0,26.5
2.0,2.66,15.96
1.0,0.0,16.8
1.0,4.75,28.55
1.0,4.6,20.0
1.0,3.0,21.9
1.0,0.0,11.2
1.0,2.52,15.12
2.0,0.0,82.3
1.0,0.0,22.4
1.0,3.5,21.0
1.0,3.1,18.5
1.0,0.0,14.0
1.0,3.67,18.37
1.0,1.96,11.76
1.0,16.46,98.76
5.0,0.0,14.0
5.0,8.92,44.62
2.0,1.0,14.3
1.0,2.52,15.12
1.0,7.56,32.76
1.0,2.94,17.64
1.0,0.0,29.4
1.0,6.02,36.12
1.0,0.0,17.5
1.0,1.0,20.6
1.0,0.0,7.7
1.0,2.0,15.3
2.0,1.5,9.2
2.0,3.35,20.15
3.0,4.45,26.85
1.0,0.0,21.0
0.0,7.64,45.84
1.0,0.01,18.16
1.0,5.04,30.24
1.0,4.34,26.04
3.0,3.6,21.8
1.0,1.5,16.9
3.0,0.0,13.3
1.0,25.26,151.56
1.0,0.0,99.6
1.0,2.0,19.5
1.0,0.0,23.8
2.0,3.22,19.32
2.0,15.05,75.25
4.0,15.0,103.3
2.0,4.2,25.2
1.0,0.0,11.2
2.0,6.3,37.8
1.0,7.0,42.0
2.0,0.0,21.4
1.0,4.34,26.04
1.0,2.38,14.28
1.0,0.0,14.0
1.0,0.0,30.8
1.0,0.0,13.3
1.0,1.0,12.2
1.0,2.24,24.64
1.0,2.98,14.88
1.0,3.64,21.84
1.0,10.0,45.0
1.0,0.0,39.2
1.0,0.0,21.0
2.0,5.46,32.76
1.0,2.66,15.96
3.0,8.26,49.56
2.0,2.0,25.5
1.0,4.62,27.72
1.0,4.06,24.36
2.0,16.11,98.41
2.0,10.0,64.6
3.0,2.31,17.71
1.0,2.35,14.25
1.0,1.95,11.75
1.0,5.04,30.24
1.0,0.0,17.5
1.0,3.5,21.0
2.0,0.0,9.1
1.0,0.0,11.9
1.0,1.68,10.08
1.0,0.0,34.3
2.0,0.05,32.2
1.0,4.9,24.5
1.0,5.08,25.38
1.0,3.75,22.65
4.0,5.0,30.9
1.0,5.74,34.44
1.0,2.8,14.0
1.0,0.0,9.1
1.0,0.0,27.3
1.0,0.11,48.41
1.0,2.44,22.74
1.0,0.0,13.3
2.0,3.5,21.0
