passenger_count,tip_amount,total_amount
1.0,0.0,81.1
1.0,4.25,25.65
2.0,10.0,29.3
1.0,2.88,17.28
1.0,0.0,79.0
1.0,4.98,29.88
1.0,3.0,34.9
1.0,2.49,27.39
1.0,0.0,13.0
1.0,3.55,36.15
4.0,17.11,104.41
1.0,4.14,24.84
1.0,5.68,34.08
1.0,3.16,18.96
1.0,5.0,15.2
2.0,3.58,21.48
1.0,0.0,20.0
1.0,0.0,17.2
1.0,3.16,18.96
1.0,3.02,18.12
1.0,0.0,20.7
1.0,3.02,18.12
1.0,5.0,25.0
1.0,0.0,19.3
1.0,4.28,25.68
1.0,0.0,20.0
1.0,16.61,101.41
1.0,5.35,26.75
2.0,3.58,21.48
1.0,3.58,21.48
1.0,0.0,24.25
1.0,4.28,25.68
1.0,2.0,16.4
1.0,5.7,28.5
1.0,6.24,37.44
1.0,0.0,40.3
2.0,2.0,22.7
1.0,4.28,25.68
1.0,17.11,104.41
1.0,4.0,24.0
1.0,2.6,15.6
1.0,3.58,21.48
1.0,6.0,26.0
1.0,4.65,23.25
1.0,2.0,22.0
1.0,5.17,25.87
1.0,0.0,23.5
1.0,0.0,17.2
1.0,2.52,15.12
1.0,4.86,52.81
1.0,0.0,38.15
1.0,2.74,16.44
3.0,5.17,25.87
4.0,0.0,87.3
1.0,2.77,30.47
4.0,0.9,18.8
1.0,2.79,21.39
2.0,9.15,39.65
3.0,3.58,21.48
4.0,2.0,33.2
2.0,2.0,22.0
1.0,6.57,39.42
1.0,3.02,18.12
2.0,5.7,28.5
2.0,2.18,13.08
2.0,3.25,16.25
1.0,0.0,15.1
1.0,0.0,18.6
1.0,0.0,23.5
1.0,3.72,22.32
1.0,1.74,13.34
1.0,4.14,24.84
1.0,2.6,15.6
1.0,5.0,45.3
1.0,5.0,34.8
1.0,4.42,26.52
4.0,3.02,18.12
1.0,5.26,31.56
2.0,4.65,23.25
1.0,0.0,22.1
1.0,0.0,12.6
3.0,0.0,21.4
1.0,1.0,24.5
2.0,5.0,38.3
1.0,1.2,17.0
2.0,4.1,24.8
1.0,4.7,28.2
1.0,2.88,17.28
1.0,3.21,24.61
1.0,5.12,30.72
1.0,4.7,28.2
1.0,0.0,16.5
2.0,2.0,24.1
1.0,5.0,89.8
1.0,5.0,25.0
2.0,5.1,30.7
2.0,1.0,16.1
1.0,0.0,17.2
3.0,0.0,-15.1
3.0,0.0,15.1
1.0,1.5,13.8
1.0,2.0,29.0
2.0,16.61,101.41
1.0,3.02,18.12
3.0,3.5,27.0
2.0,3.05,15.25
1.0,3.42,20.52
1.0,2.7,16.4
1.0,0.0,17.2
3.0,0.0,21.4
1.0,0.0,20.7
1.0,0.0,7.0
2.0,0.0,9.1
1.0,0.0,25.2
1.0,4.55,27.35
1.0,0.0,43.1
4.0,3.0,25.1
1.0,0.0,34.0
1.0,17.43,77.28
1.0,4.32,18.72
1.0,6.52,39.12
3.0,3.6,18.0
1.0,0.0,14.4
1.0,3.0,18.1
1.0,2.88,17.28
1.0,0.05,22.15
1.0,1.0,11.9
1.0,0.58,12.18
1.0,0.0,17.9
1.0,1.0,13.3
1.0,5.0,29.9
2.0,17.11,104.41
1.0,2.5,18.3
1.0,0.0,22.1
1.0,0.0,15.1
3.0,0.0,20.0
2.0,3.44,20.64
2.0,17.11,104.41
4.0,0.0,87.3
1.0,5.65,34.05
4.0,0.0,20.0
1.0,3.02,18.12
1.0,2.88,17.28
1.0,4.98,29.88
1.0,3.12,34.32
1.0,0.0,49.0
1.0,2.18,13.08
1.0,2.6,15.6
1.0,1.0,24.5
1.0,15.7,78.4
1.0,3.3,19.8
2.0,1.5,13.8
1.0,4.25,25.65
1.0,4.0,24.0
1.0,3.3,19.8
1.0,0.0,11.2
1.0,1.08,12.68
1.0,4.0,24.0
0.0,3.0,13.9
0.0,3.85,23.15
0.0,3.0,18.1
0.0,2.85,17.25
1.0,0.0,18.6
1.0,1.5,19.4
1.0,13.76,105.46
3.0,0.0,40.35
1.0,0.0,16.5
1.0,4.14,24.84
1.0,2.74,16.44
1.0,2.85,17.25
1.0,4.5,22.4
1.0,3.6,21.5
3.0,0.0,20.7
1.0,3.77,18.87
2.0,2.6,15.6
2.0,2.26,17.36
1.0,0.0,19.3
1.0,4.95,21.45
1.0,2.32,13.92
1.0,2.88,17.28
1.0,2.46,14.76
1.0,0.0,13.7
1.0,5.12,30.72
2.0,3.0,18.1
3.0,3.0,30.0
1.0,0.0,25.0
1.0,0.0,15.1
1.0,4.7,28.2
1.0,2.88,17.28
1.0,0.0,35.4
1.0,0.0,10.9
1.0,2.0,15.0
2.0,0.0,21.4
2.0,12.09,52.39
1.0,2.74,16.44
2.0,4.28,25.68
1.0,0.0,17.9
1.0,4.0,24.0
1.0,3.44,20.64
1.0,3.86,23.16
1.0,2.0,19.2
1.0,3.72,22.32
1.0,4.14,24.84
1.0,3.3,19.8
1.0,0.0,17.9
1.0,2.46,14.76
1.0,4.0,24.0
1.0,0.0,27.0
1.0,2.0,33.9
1.0,4.7,28.2
1.0,5.0,25.0
1.0,2.0,17.8
1.0,1.9,24.0
1.0,0.0,10.9
1.0,3.16,18.96
2.0,17.11,104.41
1.0,0.0,15.1
1.0,2.38,14.28
1.0,5.0,90.55
4.0,1.72,18.92
2.0,0.0,17.9
2.0,4.0,24.0
3.0,0.0,7.0
1.0,6.52,39.12
1.0,2.9,14.5
1.0,4.65,23.25
1.0,3.48,15.08
1.0,4.42,26.52
2.0,1.0,13.3
1.0,3.02,18.12
2.0,0.0,13.7
1.0,2.74,16.44
1.0,0.0,17.5
1.0,0.0,12.3
1.0,4.56,27.36
1.0,5.26,31.56
1.0,3.58,21.48
1.0,0.0,20.0
1.0,4.2,25.2
1.0,0.0,43.8
1.0,5.5,33.2
1.0,2.74,16.44
1.0,4.28,25.68
4.0,0.0,16.5
1.0,3.0,18.1
3.0,4.12,20.62
1.0,4.28,25.68
1.0,0.0,17.9
1.0,0.0,-10.2
1.0,0.0,10.2
1.0,0.0,15.1
1.0,4.0,28.9
1.0,9.94,61.39
1.0,0.0,14.4
2.0,3.0,23.7
1.0,0.0,66.9
1.0,3.7,22.3
1.0,2.88,17.28
1.0,3.6,18.0
1.0,3.0,23.0
1.0,4.11,17.81
1.0,3.58,21.48
1.0,3.15,18.95
1.0,0.0,13.0
1.0,2.6,15.6
1.0,3.3,19.8
2.0,1.72,18.92
1.0,3.02,18.12
1.0,3.86,23.16
1.0,0.0,12.3
1.0,3.0,28.6
1.0,4.42,26.52
2.0,3.72,22.32
2.0,6.1,36.6
1.0,17.02,188.97
1.0,17.59,87.94
2.0,3.86,23.16
1.0,1.5,13.1
1.0,17.11,102.66
3.0,23.7,102.7
1.0,2.5,29.5
1.0,3.48,15.08
1.0,2.88,17.28
1.0,4.7,28.2
1.0,1.5,16.6
1.0,6.71,40.26
1.0,3.72,22.32
1.0,0.0,15.1
1.0,0.0,19.3
1.0,0.0,17.9
1.0,2.0,16.4
1.0,2.46,14.76
6.0,0.0,25.6
1.0,0.0,13.7
1.0,2.88,17.28
1.0,5.82,34.92
1.0,12.53,75.18
1.0,4.82,24.12
1.0,2.74,16.44
1.0,12.2,74.95
0.0,5.65,34.05
1.0,3.16,18.96
3.0,0.0,11.6
2.0,0.0,17.9
4.0,0.0,22.8
2.0,0.0,38.25
1.0,0.0,81.65
1.0,2.0,16.4
1.0,2.6,15.6
1.0,2.9,17.3
1.0,5.26,31.56
1.0,3.0,15.3
1.0,2.88,17.28
1.0,5.55,36.75
4.0,3.45,15.05
1.0,0.0,13.0
2.0,4.14,24.84
1.0,0.0,-16.5
1.0,0.0,16.5
2.0,2.74,16.44
1.0,12.05,74.05
1.0,4.98,29.88
1.0,3.78,18.88
1.0,2.6,15.6
1.0,0.0,11.6
1.0,5.4,32.4
1.0,2.45,14.75
1.0,0.0,14.4
1.0,0.0,13.7
2.0,4.98,29.88
5.0,2.88,17.28
6.0,4.84,45.14
1.0,4.56,27.36
2.0,7.22,43.32
1.0,3.7,22.3
1.0,0.0,22.8
1.0,0.0,73.95
1.0,3.3,19.8
1.0,15.69,95.89
1.0,3.16,18.96
1.0,2.88,17.28
1.0,2.0,15.0
1.0,3.3,19.8
1.0,10.0,65.35
1.0,4.0,24.0
1.0,2.88,17.28
1.0,4.8,29.0
2.0,6.35,38.25
1.0,6.94,41.64
1.0,3.95,19.75
3.0,4.36,28.56
1.0,1.0,21.0
1.0,15.76,80.56
3.0,3.44,20.64
1.0,3.02,18.12
1.0,0.0,12.3
1.0,3.44,20.64
1.0,1.0,14.0
1.0,6.22,31.12
2.0,3.42,17.12
2.0,6.0,36.5
1.0,3.86,23.16
2.0,0.0,13.7
1.0,6.8,40.8
1.0,4.48,22.38
1.0,7.78,46.68
1.0,0.0,26.3
1.0,3.8,18.9
1.0,0.0,54.75
1.0,2.32,13.92
1.0,4.14,24.84
1.0,3.0,25.8
1.0,0.0,29.8
1.0,0.0,49.95
1.0,11.84,72.79
1.0,2.0,14.3
1.0,2.0,19.2
1.0,0.0,32.6
1.0,20.0,38.6
1.0,7.92,47.52
1.0,5.0,46.0
2.0,0.0,16.5
1.0,2.6,15.6
2.0,2.42,26.62
1.0,2.6,15.6
2.0,2.9,14.5
1.0,8.45,50.85
1.0,14.36,87.91
1.0,3.1,18.2
1.0,2.45,14.75
2.0,3.95,19.75
2.0,3.3,19.8
1.0,3.72,22.32
1.0,17.1,102.65
2.0,3.02,18.12
1.0,3.02,18.12
1.0,3.16,18.96
1.0,1.0,12.6
1.0,3.02,18.12
1.0,4.98,29.88
1.0,17.46,104.76
5.0,0.0,66.9
2.0,4.42,26.52
6.0,5.52,27.62
6.0,4.3,21.5
6.0,6.4,32.0
1.0,0.0,68.25
2.0,2.32,13.92
1.0,4.0,24.0
2.0,7.64,45.84
2.0,0.0,49.65
1.0,4.7,28.2
2.0,2.74,16.44
1.0,4.28,25.68
1.0,3.58,21.48
2.0,0.0,20.7
2.0,17.11,104.41
1.0,3.44,20.64
1.0,8.28,51.43
1.0,4.0,24.0
1.0,2.0,15.0
1.0,3.72,22.32
1.0,2.0,15.0
1.0,3.77,18.87
1.0,0.0,22.1
1.0,0.0,15.1
1.0,4.56,27.36
4.0,4.0,24.0
4.0,0.0,19.3
1.0,0.0,29.05
2.0,2.0,26.2
1.0,0.0,24.2
1.0,2.3,13.9
1.0,3.3,19.8
1.0,5.82,34.92
1.0,0.0,15.1
4.0,3.02,18.12
1.0,3.02,18.12
1.0,4.14,24.84
1.0,0.0,12.3
1.0,3.6,21.5
1.0,1.0,16.8
1.0,0.0,22.8
1.0,0.0,29.1
2.0,0.0,38.5
2.0,2.0,14.3
1.0,2.18,13.08
1.0,2.46,14.76
2.0,4.83,24.13
2.0,0.0,-45.2
2.0,0.0,45.2
1.0,4.98,29.88
2.0,4.0,24.0
1.0,2.0,19.2
4.0,3.0,35.6
2.0,5.7,28.5
2.0,0.0,18.6
2.0,3.16,18.96
1.0,4.28,25.68
1.0,1.0,12.6
1.0,2.32,13.92
2.0,4.7,28.2
2.0,1.0,25.2
1.0,4.0,24.0
5.0,2.0,17.1
5.0,2.2,28.5
5.0,6.92,34.62
1.0,2.0,22.0
