passenger_count,tip_amount,total_amount
"",3.0,18.0
"",3.0,18.0
"",3.88,23.29
"",3.0,18.0
"",0.0,13.91
"",5.97,25.88
"",3.0,18.0
"",2.5,15.0
"",3.0,19.07
"",11.02,55.11
"",4.19,32.15
"",9.44,56.64
"",3.0,18.0
"",4.47,30.37
"",5.1,33.45
"",3.4,20.4
"",8.28,49.66
"",1.87,20.59
"",1.89,14.49
"",0.0,24.91
"",3.09,18.56
"",2.0,30.18
"",2.73,30.03
"",3.5,28.5
"",0.0,17.64
"",5.39,32.36
"",3.36,20.16
"",4.13,24.77
"",1.68,12.88
"",5.28,34.62
"",0.0,29.64
"",5.27,49.17
"",3.92,23.52
"",11.54,69.25
"",6.05,31.31
"",9.83,59.0
"",3.0,18.0
"",6.35,48.67
"",0.0,61.0
"",2.2,16.9
"",7.19,43.12
"",5.41,32.45
"",5.1,22.1
"",2.99,20.55
"",1.87,20.6
"",5.02,30.12
"",2.0,20.48
"",4.4,26.38
"",1.0,40.42
"",1.0,25.45
"",2.42,18.52
"",9.81,58.86
"",0.0,64.65
"",2.0,30.4
"",0.0,17.36
"",0.0,42.81
"",2.63,15.79
"",0.0,11.03
"",6.06,46.43
"",8.85,48.1
"",4.68,30.7
"",1.12,12.32
"",5.95,17.85
"",3.07,18.41
"",2.38,14.28
"",2.8,16.8
"",2.66,15.96
"",10.7,64.21
"",3.36,20.16
"",1.89,14.49
"",8.13,48.77
"",3.33,16.63
"",2.73,20.92
"",4.55,27.32
"",3.08,18.48
"",1.78,13.68
"",10.87,65.24
"",2.42,18.52
"",1.47,16.17
"",6.94,41.63
"",3.92,23.5
"",11.09,55.44
"",0.0,16.04
"",3.78,28.98
"",11.92,91.56
"",4.02,24.12
"",9.56,57.34
"",0.91,10.01
"",15.97,95.84
"",3.22,19.32
"",4.88,37.38
"",2.53,27.8
"",1.33,14.63
"",0.0,8.33
"",4.25,25.5
"",10.36,51.78
"",2.71,20.77
"",0.63,21.79
"",7.82,39.09
"",2.0,25.8
"",2.8,16.8
"",7.85,47.08
"",2.1,16.1
"",10.0,106.41
"",0.0,23.81
"",0.0,41.6
"",2.24,24.59
"",2.25,17.25
"",6.19,27.15
"",5.0,42.24
"",0.0,69.89
"",3.48,20.9
"",0.0,18.09
"",5.2,39.9
"",1.12,23.48
"",2.47,18.91
"",5.88,25.48
"",4.25,25.49
"",4.33,25.96
"",2.62,20.12
"",2.85,23.85
"",0.0,9.85
"",3.0,18.0
"",3.85,19.25
"",0.0,16.04
"",4.07,24.43
"",6.85,41.09
"",0.0,20.74
"",1.0,18.33
"",5.0,15.67
"",2.1,12.6
"",0.0,27.19
"",3.32,44.77
"",0.28,17.45
"",4.74,52.15
"",4.1,47.1
"",4.45,26.7
"",0.0,21.08
"",2.0,25.05
"",0.0,37.27
"",2.85,23.85
"",0.0,24.22
"",3.08,18.48
"",1.79,13.69
"",8.2,49.22
"",3.0,18.0
"",3.0,18.0
"",13.29,104.03
"",0.0,40.63
"",3.5,17.5
"",0.0,33.63
"",4.34,26.06
"",8.0,44.18
"",4.33,25.96
"",2.73,20.93
"",5.04,38.65
"",4.44,26.66
"",3.0,18.0
"",5.22,40.02
"",2.29,17.58
"",0.0,23.76
"",7.3,43.8
"",4.14,24.83
"",2.31,17.71
