passenger_count,tip_amount,total_amount
3.0,16.11,96.66
1.0,7.85,47.3
1.0,3.92,23.52
1.0,3.0,29.6
1.0,5.42,27.12
1.0,4.34,26.04
2.0,16.65,99.9
2.0,14.8,90.55
1.0,2.8,16.8
1.0,2.94,17.64
2.0,5.18,31.08
1.0,3.0,24.0
1.0,1.5,21.1
1.0,3.92,23.52
1.0,2.52,15.12
1.0,2.52,15.12
1.0,4.2,25.2
1.0,2.02,18.82
1.0,1.46,8.76
2.0,9.68,59.83
2.0,0.0,13.3
2.0,0.7,14.7
2.0,0.0,64.5
2.0,0.0,80.55
1.0,0.0,9.1
1.0,0.0,22.4
1.0,0.0,17.5
1.0,2.94,12.74
1.0,0.0,11.9
1.0,4.9,24.5
3.0,5.0,78.8
2.0,1.0,33.85
1.0,3.92,23.52
1.0,1.0,22.0
1.0,0.0,15.4
1.0,3.0,12.8
1.0,0.0,13.3
1.0,5.88,35.28
4.0,0.0,30.1
1.0,1.0,12.9
1.0,7.17,35.87
1.0,2.66,15.96
1.0,4.9,29.4
1.0,2.8,16.8
1.0,1.96,11.76
1.0,0.0,82.3
3.0,0.0,52.8
4.0,16.11,98.41
1.0,2.52,19.32
1.0,3.22,19.32
1.0,15.61,95.41
2.0,5.0,37.2
1.0,3.92,23.52
0.0,0.0,23.8
1.0,4.3,26.0
1.0,2.9,17.6
1.0,10.0,162.75
4.0,1.0,23.4
5.0,4.06,24.36
1.0,3.5,21.0
1.0,0.15,15.55
1.0,3.08,18.48
2.0,2.1,12.6
1.0,0.0,14.0
1.0,0.0,18.5
1.0,3.64,21.84
2.0,2.8,14.0
2.0,0.0,82.95
1.0,0.0,9.1
2.0,11.71,70.26
1.0,1.0,12.9
1.0,4.05,24.35
1.0,0.0,21.0
3.0,5.6,33.6
2.0,0.0,12.6
1.0,4.03,20.13
1.0,0.0,11.9
1.0,0.0,11.9
1.0,1.68,12.88
1.0,5.04,30.24
1.0,0.0,11.2
0.0,2.0,14.6
3.0,2.0,15.3
1.0,2.65,15.95
0.0,1.0,17.8
1.0,6.16,36.96
1.0,3.26,24.96
1.0,3.68,18.38
1.0,1.75,15.05
1.0,0.0,14.0
1.0,2.0,11.8
1.0,2.5,15.1
1.0,3.22,19.32
1.0,4.06,24.36
1.0,16.11,98.41
3.0,5.6,28.0
1.0,3.5,17.5
1.0,2.24,13.44
4.0,1.0,15.7
1.0,2.94,17.64
2.0,0.0,11.9
6.0,2.52,15.12
1.0,5.0,92.4
1.0,3.9,23.5
1.0,3.9,23.5
4.0,2.8,16.8
1.0,0.0,20.3
1.0,3.85,19.25
3.0,0.0,79.8
4.0,2.58,17.23
1.0,16.11,98.41
1.0,0.0,21.7
1.0,3.08,18.48
1.0,3.0,38.7
1.0,1.0,15.0
1.0,5.18,31.08
1.0,3.78,22.68
1.0,5.0,110.65
3.0,0.0,31.5
1.0,3.5,21.0
1.0,2.8,16.8
1.0,3.64,21.84
1.0,0.0,15.7
2.0,0.0,27.6
5.0,1.0,12.2
5.0,2.0,14.6
5.0,2.38,14.28
6.0,2.66,15.96
1.0,4.41,19.11
1.0,5.45,32.75
1.0,4.2,21.0
1.0,5.75,34.45
1.0,2.24,13.44
2.0,0.0,19.6
1.0,5.6,28.0
3.0,2.24,13.44
1.0,0.0,44.05
1.0,4.83,20.93
1.0,5.25,26.25
1.0,0.0,14.7
1.0,2.38,14.28
1.0,8.0,66.05
0.0,3.75,22.65
1.0,3.08,18.48
1.0,0.0,16.1
2.0,2.1,12.6
1.0,0.0,19.6
1.0,3.5,17.5
1.0,0.0,21.0
1.0,2.0,16.7
2.0,0.02,11.92
1.0,15.35,76.95
1.0,2.38,14.28
1.0,3.22,19.32
1.0,0.0,14.7
1.0,0.0,-9.8
1.0,0.0,9.8
2.0,3.5,21.0
1.0,3.92,23.52
1.0,3.1,15.7
0.0,0.0,9.8
2.0,4.2,21.0
1.0,2.52,15.12
1.0,0.0,28.0
1.0,3.05,18.45
1.0,2.42,18.52
2.0,0.0,25.15
1.0,3.08,18.48
1.0,2.0,13.9
1.0,0.0,9.8
1.0,3.5,21.0
1.0,1.96,11.76
1.0,3.92,23.52
1.0,0.0,43.4
1.0,7.5,39.7
1.0,4.0,13.1
1.0,4.05,20.15
