passenger_count,tip_amount,total_amount
1.0,5.52,27.62
1.0,8.15,40.75
2.0,5.0,75.79
1.0,0.0,16.5
1.0,17.95,77.79
1.0,3.86,23.16
1.0,4.83,24.13
1.0,7.36,44.16
1.0,3.72,22.32
2.0,4.14,24.84
3.0,3.44,20.64
1.0,8.34,91.78
1.0,4.56,27.36
1.0,3.44,20.64
4.0,6.2,37.4
1.0,3.0,16.0
5.0,3.16,18.96
1.0,8.32,41.62
1.0,3.16,18.96
1.0,5.54,33.24
1.0,2.85,17.25
1.0,0.0,9.5
2.0,2.08,19.28
1.0,8.15,40.75
2.0,12.5,54.2
1.0,3.6,18.0
1.0,0.0,10.2
2.0,14.0,93.0
1.0,2.88,17.28
2.0,1.0,14.0
0.0,2.7,16.4
1.0,2.7,16.4
2.0,4.8,29.0
1.0,0.0,18.6
2.0,6.46,49.56
1.0,3.45,20.65
1.0,3.0,24.4
1.0,3.0,31.4
1.0,0.0,22.1
1.0,0.0,17.9
1.0,8.62,51.72
1.0,0.0,14.4
2.0,0.0,87.69
1.0,1.44,15.84
1.0,1.0,18.9
1.0,16.15,96.9
2.0,2.68,20.58
2.0,5.82,34.92
1.0,4.0,24.0
1.0,5.37,23.27
1.0,0.0,12.3
1.0,4.0,24.0
5.0,0.0,33.3
5.0,1.0,18.2
1.0,0.0,87.69
1.0,3.0,18.1
2.0,0.0,20.0
1.0,8.5,42.5
1.0,0.0,10.9
1.0,2.0,15.0
1.0,4.0,24.0
1.0,3.0,27.2
2.0,8.9,53.4
1.0,4.7,28.2
1.0,1.0,17.5
1.0,5.88,29.38
2.0,0.0,27.7
1.0,12.27,73.61
1.0,1.79,19.69
1.0,5.0,50.9
1.0,3.16,18.96
1.0,0.0,14.7
2.0,3.77,18.87
1.0,3.16,18.96
1.0,3.0,18.1
1.0,0.0,20.0
1.0,3.05,15.35
1.0,0.0,10.9
1.0,5.68,34.08
1.0,1.0,18.2
1.0,3.02,18.12
2.0,5.54,33.24
1.0,3.58,21.48
1.0,6.0,54.75
1.0,5.53,27.63
1.0,5.54,33.24
1.0,2.0,19.2
1.0,1.75,15.45
1.0,2.0,17.1
1.0,0.0,40.3
1.0,2.0,24.8
1.0,0.0,-12.3
1.0,0.0,12.3
2.0,2.0,34.6
1.0,3.02,18.12
5.0,5.68,34.08
5.0,5.0,22.2
5.0,4.14,24.84
1.0,2.18,13.08
1.0,2.46,14.76
5.0,0.5,12.1
4.0,0.0,20.7
3.0,0.0,20.7
1.0,0.0,22.1
1.0,17.54,105.23
1.0,12.46,76.51
1.0,0.0,56.35
1.0,0.0,87.69
1.0,3.02,18.12
1.0,3.86,23.16
1.0,3.72,22.32
1.0,2.22,22.92
1.0,1.0,23.1
1.0,2.74,16.44
2.0,2.6,15.6
1.0,2.46,14.76
2.0,5.16,22.36
3.0,3.16,18.96
4.0,2.9,22.2
1.0,0.0,17.9
2.0,3.0,26.5
1.0,3.0,29.3
1.0,2.6,15.6
1.0,0.0,34.7
2.0,15.59,93.53
1.0,0.11,86.05
1.0,0.0,15.8
1.0,5.0,25.0
1.0,3.58,21.48
5.0,2.6,15.6
4.0,3.44,20.64
1.0,0.0,12.3
1.0,2.0,17.8
1.0,0.0,13.0
1.0,1.0,15.4
1.0,14.03,71.88
1.0,5.0,41.8
2.0,0.0,34.0
1.0,3.25,16.25
1.0,3.27,14.17
1.0,10.0,73.09
5.0,5.18,25.88
5.0,1.0,21.0
5.0,0.0,14.4
5.0,2.74,16.44
5.0,3.02,18.12
1.0,0.0,29.8
1.0,3.0,26.5
2.0,32.19,194.88
1.0,0.0,87.69
1.0,4.0,24.0
1.0,4.7,28.2
1.0,4.7,28.2
1.0,4.0,20.5
1.0,14.56,89.11
2.0,3.72,22.32
2.0,5.35,26.75
2.0,1.0,17.5
1.0,3.3,19.8
1.0,1.0,21.7
1.0,0.0,13.0
1.0,2.74,16.44
1.0,3.44,20.64
1.0,2.74,16.44
1.0,0.0,-13.7
1.0,0.0,13.7
1.0,6.22,31.12
1.0,0.7,20.0
1.0,0.0,16.1
2.0,7.16,44.71
1.0,5.68,34.08
1.0,3.6,18.0
1.0,0.0,13.0
1.0,0.0,13.7
1.0,0.0,29.1
1.0,2.46,14.76
1.0,3.27,14.17
1.0,1.0,14.0
1.0,0.0,20.0
1.0,6.38,38.28
1.0,1.81,16.91
2.0,0.0,30.5
1.0,3.72,22.32
1.0,1.0,27.3
1.0,0.0,39.65
1.0,0.0,13.0
1.0,0.0,13.7
1.0,6.38,38.28
1.0,2.88,17.28
1.0,2.0,13.6
1.0,0.0,83.44
4.0,7.0,94.69
1.0,3.15,18.95
1.0,0.0,17.2
1.0,3.44,20.64
1.0,4.84,29.04
2.0,15.3,93.55
2.0,5.95,35.75
1.0,3.7,22.3
2.0,5.53,27.63
2.0,4.14,24.84
1.0,7.92,47.52
3.0,0.0,21.0
1.0,2.32,13.92
1.0,2.42,26.62
1.0,12.0,303.14
2.0,1.0,28.0
1.0,4.12,20.62
1.0,4.05,31.05
1.0,8.06,48.36
4.0,0.0,26.25
1.0,2.74,16.44
1.0,3.72,22.32
1.0,3.4,20.6
1.0,9.15,55.05
4.0,5.53,27.63
1.0,4.84,29.04
1.0,2.74,16.44
