passenger_count,tip_amount,total_amount
1.0,3.42,20.52
3.0,3.0,16.6
1.0,0.0,47.9
1.0,3.42,20.52
1.0,4.28,21.38
1.0,6.03,30.13
1.0,2.36,18.06
1.0,0.0,15.7
1.0,14.8,88.8
1.0,0.0,10.8
2.0,2.3,13.8
1.0,4.68,28.08
1.0,2.7,16.3
1.0,0.0,35.3
2.0,12.1,72.6
1.0,3.1,18.8
2.0,14.75,88.6
1.0,0.0,14.3
1.0,2.0,12.1
1.0,3.0,18.0
1.0,3.56,21.36
1.0,3.25,19.65
1.0,2.0,11.4
1.0,15.0,94.8
1.0,3.56,21.36
0.0,2.85,17.15
1.0,2.7,16.3
1.0,3.7,22.2
4.0,3.7,22.2
2.0,2.3,13.8
1.0,3.28,19.68
3.0,12.7,65.25
1.0,2.55,12.65
1.0,14.85,74.2
1.0,5.0,64.1
1.0,5.94,35.64
1.0,0.0,15.7
1.0,3.56,21.36
1.0,4.4,26.4
1.0,3.28,19.68
1.0,10.0,76.05
1.0,3.28,19.68
1.0,0.0,17.8
1.0,3.84,23.04
2.0,1.0,18.8
2.0,2.72,16.32
1.0,2.0,19.8
1.0,4.25,25.55
2.0,1.0,16.0
1.0,5.0,44.45
6.0,6.92,41.52
1.0,5.38,32.28
1.0,9.78,60.43
1.0,0.0,24.1
1.0,5.52,33.12
1.0,3.58,17.88
1.0,7.5,58.2
1.0,3.0,20.8
1.0,0.0,36.0
1.0,5.65,33.95
1.0,0.0,15.0
1.0,16.35,81.75
1.0,13.0,65.05
1.0,6.08,36.48
1.0,14.07,70.37
1.0,4.05,20.45
0.0,1.0,16.7
1.0,5.1,22.2
1.0,4.4,26.4
1.0,2.13,23.43
1.0,3.42,20.52
1.0,4.12,24.72
1.0,2.45,14.65
1.0,2.6,15.5
1.0,3.5,25.5
1.0,3.0,25.7
1.0,0.0,11.5
2.0,3.1,23.0
3.0,0.0,79.8
2.0,2.44,14.64
1.0,2.44,14.64
1.0,8.88,53.28
1.0,0.0,75.15
1.0,0.0,24.1
1.0,0.0,11.5
1.0,3.14,18.84
1.0,3.28,19.68
1.0,2.0,14.9
1.0,10.05,60.3
1.0,4.8,28.9
2.0,2.72,16.32
2.0,1.72,13.22
1.0,0.0,10.1
1.0,4.97,24.87
1.0,4.4,26.4
1.0,2.34,25.74
2.0,0.0,13.6
2.0,16.46,98.76
4.0,1.0,21.6
1.0,2.58,15.48
1.0,7.76,47.26
1.0,3.84,23.04
1.0,5.24,31.44
1.0,8.04,48.24
1.0,1.78,19.58
1.0,2.78,16.68
1.0,9.1,56.35
1.0,5.0,41.0
1.0,1.0,24.4
1.0,20.14,102.44
2.0,4.62,23.12
1.0,0.0,-12.9
1.0,0.0,12.9
1.0,1.0,15.3
1.0,5.95,35.7
2.0,3.23,16.13
1.0,3.84,23.04
1.0,2.0,16.3
1.0,0.0,24.8
1.0,2.3,13.8
2.0,1.0,14.6
1.0,0.0,28.3
1.0,5.0,47.3
1.0,12.15,60.8
1.0,4.12,24.72
1.0,0.0,13.6
1.0,3.7,22.2
2.0,2.86,17.16
2.0,2.86,17.16
1.0,3.42,20.52
1.0,3.0,18.0
1.0,3.0,24.3
2.0,3.84,23.04
1.0,1.0,22.3
1.0,2.16,12.96
1.0,2.76,30.36
1.0,2.58,15.48
1.0,2.58,15.48
1.0,3.0,33.4
1.0,2.7,13.5
2.0,5.24,31.44
5.0,7.2,43.2
1.0,0.0,50.05
1.0,14.96,91.51
1.0,9.24,57.19
3.0,0.0,25.5
4.0,6.92,41.52
1.0,0.0,35.3
1.0,2.45,14.65
1.0,0.0,13.6
1.0,0.0,17.1
1.0,1.0,13.2
1.0,3.2,21.0
2.0,0.0,19.2
1.0,2.16,12.96
4.0,4.82,28.92
3.0,16.46,98.76
2.0,1.0,16.0
1.0,16.11,96.66
1.0,6.92,41.52
0.0,3.8,23.0
0.0,0.0,32.5
1.0,3.0,25.7
2.0,2.86,17.16
1.0,4.62,23.12
1.0,1.3,13.5
1.0,1.5,17.2
1.0,2.44,14.64
1.0,5.0,46.55
1.0,0.5,12.0
1.0,4.68,28.08
1.0,3.7,22.2
1.0,3.85,16.75
1.0,3.85,23.05
1.0,3.55,21.35
1.0,0.0,17.1
1.0,4.9,31.15
1.0,4.54,27.24
1.0,3.28,19.68
1.0,1.8,18.2
2.0,3.0,18.0
1.0,0.5,12.0
1.0,0.0,82.3
1.0,0.0,25.45
1.0,8.17,49.02
1.0,2.02,12.12
1.0,3.48,20.88
2.0,3.0,18.0
1.0,1.0,17.4
1.0,2.72,16.32
1.0,4.4,26.4
1.0,4.04,25.99
1.0,15.73,94.38
3.0,0.0,31.1
2.0,5.16,32.71
2.0,1.5,19.3
1.0,0.0,16.4
2.0,1.08,11.88
1.0,2.22,17.92
1.0,3.28,19.68
1.0,2.72,16.32
1.0,3.98,23.88
1.0,3.15,18.85
2.0,4.12,24.72
1.0,2.0,16.3
1.0,2.67,20.47
1.0,1.0,11.8
1.0,2.85,17.15
6.0,5.55,59.05
2.0,5.62,43.07
1.0,2.44,14.64
1.0,3.98,23.88
1.0,2.3,13.8
1.0,2.0,19.1
1.0,7.45,44.85
1.0,3.4,26.1
2.0,4.0,25.3
1.0,2.04,15.64
1.0,3.84,23.04
1.0,1.0,12.5
2.0,12.34,94.64
1.0,15.0,97.3
1.0,4.96,29.76
2.0,0.0,11.5
1.0,3.7,22.2
1.0,5.5,24.0
1.0,0.0,23.4
1.0,2.4,14.6
1.0,4.82,28.92
2.0,0.0,10.8
1.0,3.1,18.8
1.0,2.0,21.2
1.0,9.36,56.16
2.0,2.3,13.8
1.0,1.8,11.5
1.0,4.38,18.98
1.0,0.0,17.8
1.0,2.0,16.3
1.0,4.1,24.7
1.0,1.5,16.5
1.0,8.3,41.5
1.0,2.0,15.6
2.0,3.85,23.05
3.0,1.36,14.96
3.0,0.0,17.8
3.0,5.24,31.44
1.0,3.28,19.68
2.0,2.3,13.8
6.0,0.0,17.8
1.0,20.0,254.3
2.0,5.13,22.23
2.0,1.0,18.8
2.0,0.0,12.9
1.0,3.7,22.2
1.0,0.0,9.4
1.0,1.8,13.3
1.0,1.01,11.11
1.0,0.0,17.9
1.0,4.26,32.66
1.0,8.25,49.5
3.0,5.46,34.51
1.0,4.12,20.62
3.0,0.0,-16.5
3.0,0.0,16.5
2.0,0.0,12.3
1.0,0.0,59.5
5.0,4.7,28.2
1.0,2.74,16.44
1.0,6.75,33.75
1.0,2.0,28.3
2.0,1.23,13.53
1.0,5.5,33.2
1.0,2.77,30.47
2.0,0.0,13.7
3.0,0.0,13.0
1.0,0.0,26.25
1.0,0.0,18.6
1.0,0.0,13.0
1.0,11.21,69.01
1.0,2.85,17.25
1.0,0.0,80.75
1.0,6.8,40.8
1.0,4.14,24.84
1.0,1.5,24.3
1.0,2.18,13.08
2.0,4.4,26.5
1.0,4.3,18.7
1.0,1.0,25.2
1.0,3.5,31.9
3.0,1.0,16.1
1.0,2.32,13.92
0.0,0.0,13.7
0.0,6.15,26.75
2.0,0.0,17.9
1.0,2.6,15.6
1.0,11.83,70.98
1.0,2.0,11.5
1.0,4.14,24.84
1.0,3.8,23.8
1.0,3.75,41.25
1.0,2.0,22.0
1.0,3.72,22.32
1.0,15.0,102.3
0.0,11.8,71.0
1.0,3.7,22.3
1.0,5.0,92.3
2.0,2.0,15.0
4.0,2.74,16.44
1.0,3.02,18.12
1.0,13.95,69.65
1.0,2.75,16.45
1.0,3.4,20.6
2.0,1.95,11.75
1.0,3.9,16.9
1.0,2.0,16.4
1.0,5.26,31.56
4.0,10.0,111.0
1.0,2.88,17.28
1.0,3.0,23.7
1.0,5.0,75.45
1.0,5.0,41.1
3.0,3.02,18.12
1.0,8.0,95.3
1.0,1.0,17.5
1.0,4.7,28.2
1.0,0.0,15.1
1.0,3.15,18.95
1.0,0.0,24.45
1.0,14.0,87.2
2.0,3.3,19.8
2.0,2.74,16.44
1.0,4.8,24.1
3.0,7.35,44.15
1.0,3.02,18.12
1.0,3.3,24.0
1.0,1.0,11.9
1.0,1.0,25.9
1.0,5.0,25.0
5.0,0.0,24.9
5.0,5.88,29.38
1.0,4.42,26.52
1.0,2.6,15.6
1.0,0.0,27.75
1.0,4.7,28.2
2.0,2.6,15.6
1.0,10.0,86.0
1.0,5.26,31.56
1.0,3.42,17.12
1.0,9.46,56.76
2.0,4.0,24.0
1.0,0.0,67.55
1.0,0.0,34.0
1.0,0.0,34.0
1.0,0.0,12.3
1.0,1.0,15.4
1.0,4.0,28.25
1.0,3.44,20.64
1.0,2.74,16.44
1.0,4.28,25.68
1.0,3.0,25.1
1.0,1.0,19.9
1.0,2.5,19.0
1.0,5.0,80.05
3.0,2.88,17.28
3.0,2.0,22.0
1.0,5.1,30.7
2.0,3.0,18.7
1.0,3.86,23.16
1.0,2.6,15.6
1.0,2.6,15.6
1.0,3.05,15.35
2.0,4.0,24.0
1.0,1.37,15.07
1.0,2.2,13.1
2.0,2.45,14.75
1.0,0.92,17.42
1.0,2.74,16.44
1.0,3.0,23.0
1.0,13.95,83.65
1.0,5.95,35.75
1.0,2.46,14.76
1.0,3.16,18.96
2.0,3.44,20.64
1.0,5.0,69.05
3.0,3.44,20.64
1.0,0.0,16.5
1.0,4.14,24.84
1.0,4.74,20.54
1.0,2.0,15.0
2.0,3.72,22.32
1.0,1.5,22.9
2.0,3.9,19.6
2.0,3.02,18.12
1.0,2.74,16.44
1.0,2.85,17.25
1.0,3.3,19.8
3.0,0.0,15.7
1.0,3.0,22.3
1.0,5.0,29.9
1.0,0.0,59.2
2.0,2.7,16.4
1.0,2.0,16.4
1.0,3.3,19.8
1.0,3.44,20.64
3.0,3.9,16.9
1.0,1.0,18.9
1.0,2.0,22.7
1.0,3.85,23.15
1.0,0.01,13.71
2.0,0.0,26.9
2.0,2.14,23.54
2.0,2.88,22.08
1.0,3.0,21.6
1.0,3.77,18.87
2.0,0.0,11.6
1.0,1.0,14.0
1.0,3.44,20.64
1.0,3.16,18.96
1.0,4.84,29.04
1.0,2.6,15.6
1.0,7.89,34.19
1.0,6.23,31.13
1.0,5.0,25.0
1.0,5.0,56.95
1.0,0.0,13.0
2.0,5.68,34.08
1.0,4.16,31.86
2.0,6.2,37.4
1.0,5.96,35.76
1.0,0.0,13.0
1.0,4.56,27.36
2.0,2.74,16.44
1.0,4.42,26.52
4.0,0.0,24.2
2.0,2.55,15.55
1.0,2.22,25.72
1.0,1.58,17.38
1.0,2.6,15.6
1.0,15.5,77.5
1.0,2.7,13.6
2.0,0.0,17.2
2.0,0.0,11.9
2.0,6.38,38.28
1.0,1.51,16.61
2.0,15.12,92.47
2.0,3.0,22.3
1.0,2.0,24.1
1.0,3.02,18.12
1.0,3.72,22.32
1.0,5.96,35.76
1.0,12.0,68.4
2.0,2.46,14.76
1.0,3.15,18.95
1.0,3.85,23.15
1.0,3.45,20.65
1.0,2.6,15.6
1.0,2.3,13.9
1.0,10.65,65.65
1.0,4.0,24.0
1.0,2.7,16.4
1.0,0.0,12.9
2.0,3.16,18.96
1.0,0.0,15.1
1.0,5.1,30.7
4.0,1.0,13.3
2.0,4.0,24.0
2.0,5.8,18.8
1.0,4.0,28.9
1.0,2.9,17.3
3.0,3.15,18.95
1.0,3.55,21.45
1.0,1.0,16.8
2.0,3.3,19.8
3.0,15.65,93.9
2.0,3.3,19.8
1.0,1.0,39.9
1.0,3.25,16.25
1.0,3.6,21.5
1.0,3.45,20.65
1.0,4.25,25.55
1.0,0.0,21.3
2.0,2.3,13.8
1.0,2.14,16.44
1.0,3.51,26.91
1.0,6.02,30.12
1.0,4.96,29.76
2.0,14.8,90.55
1.0,9.88,49.38
1.0,2.58,15.48
1.0,5.0,32.6
1.0,2.0,18.4
1.0,2.86,17.16
1.0,0.0,15.0
1.0,6.72,33.62
1.0,1.0,32.8
1.0,5.0,77.0
2.0,20.05,120.4
1.0,3.8,23.0
1.0,2.0,19.1
2.0,3.28,19.68
4.0,5.38,32.28
1.0,1.2,16.9
1.0,3.11,34.21
1.0,10.0,28.5
1.0,0.0,12.2
1.0,0.0,11.5
2.0,0.0,17.8
1.0,2.7,16.3
1.0,1.0,16.0
2.0,2.72,16.32
2.0,1.0,16.7
2.0,4.26,25.56
1.0,2.72,16.32
1.0,2.88,14.38
1.0,2.0,16.3
1.0,2.7,16.3
1.0,3.55,21.35
1.0,2.0,20.5
1.0,1.0,16.0
2.0,0.0,29.7
4.0,12.06,52.26
4.0,7.06,42.36
6.0,2.02,12.12
2.0,5.93,35.58
5.0,17.13,102.78
1.0,3.23,16.13
1.0,0.0,16.4
1.0,4.26,25.56
1.0,4.75,55.0
1.0,9.85,59.1
1.0,4.0,23.9
1.0,2.85,17.15
1.0,4.65,23.15
1.0,10.0,92.3
1.0,1.55,12.35
1.0,3.7,22.2
1.0,2.0,15.6
2.0,0.0,-74.0
2.0,0.0,74.0
1.0,1.74,10.44
1.0,0.0,-8.0
1.0,0.0,8.0
1.0,0.0,28.3
2.0,3.14,18.84
1.0,4.4,26.4
1.0,4.4,26.4
3.0,0.0,10.1
2.0,3.0,18.0
1.0,3.0,14.5
1.0,0.0,32.8
1.0,3.0,18.0
1.0,2.0,34.5
1.0,6.14,36.84
1.0,15.46,92.76
1.0,2.0,33.1
1.0,5.66,33.96
1.0,6.0,16.1
1.0,0.0,16.4
1.0,1.0,11.8
1.0,2.44,14.64
1.0,3.28,19.68
2.0,0.0,24.05
3.0,3.14,18.84
2.0,3.56,21.36
1.0,0.0,17.8
1.0,5.0,44.5
1.0,4.96,29.76
1.0,2.86,17.16
3.0,0.0,10.8
2.0,2.16,12.96
2.0,2.86,17.16
2.0,10.4,62.55
1.0,2.72,16.32
1.0,5.24,31.44
1.0,2.16,12.96
1.0,0.0,-50.75
1.0,0.0,50.75
2.0,6.0,46.2
2.0,2.58,15.48
1.0,5.0,25.6
2.0,0.0,8.3
1.0,1.88,11.28
1.0,4.26,25.56
1.0,5.9,35.6
1.0,2.0,17.7
5.0,9.15,54.9
1.0,8.04,48.24
2.0,0.0,11.8
1.0,9.22,57.07
1.0,4.7,28.1
1.0,2.85,17.15
1.0,10.5,64.75
1.0,3.56,21.36
1.0,4.68,28.08
2.0,2.9,17.2
1.0,1.85,20.35
1.0,3.42,20.52
1.0,14.45,72.15
2.0,0.0,46.1
1.0,7.42,46.27
1.0,2.3,13.8
1.0,0.0,12.9
1.0,3.25,19.65
2.0,1.0,15.3
6.0,3.98,23.88
6.0,4.82,28.92
3.0,4.25,25.55
4.0,2.0,20.5
1.0,3.0,76.35
1.0,4.68,28.08
1.0,11.68,70.08
1.0,11.02,72.22
1.0,0.0,18.5
1.0,0.0,8.0
1.0,2.45,14.65
1.0,1.5,14.4
1.0,2.15,12.95
1.0,12.69,63.44
2.0,12.38,74.28
4.0,0.0,20.6
1.0,0.0,25.5
1.0,9.3,55.8
2.0,2.2,24.2
2.0,2.7,13.5
1.0,14.26,85.56
1.0,10.7,64.2
1.0,2.5,20.3
1.0,1.5,16.5
1.0,2.45,14.65
1.0,1.5,16.5
1.0,2.86,17.16
1.0,9.15,56.65
1.0,3.0,20.8
1.0,3.98,23.88
2.0,3.98,23.88
2.0,4.82,28.92
1.0,2.3,13.8
1.0,2.04,15.64
1.0,10.42,62.52
1.0,3.56,21.36
1.0,6.22,37.32
1.0,15.45,92.7
1.0,3.42,20.52
1.0,3.56,21.36
1.0,6.22,37.32
1.0,2.72,16.32
1.0,3.84,23.04
2.0,3.0,33.4
4.0,5.8,34.8
1.0,2.44,14.64
1.0,2.0,21.6
1.0,10.0,68.85
6.0,3.84,23.04
5.0,6.36,38.16
2.0,2.0,17.7
2.0,2.86,17.16
1.0,2.0,19.1
1.0,2.0,17.0
2.0,4.26,25.56
1.0,3.84,23.04
1.0,3.28,19.68
2.0,0.0,60.1
1.0,2.44,14.64
1.0,0.0,15.0
1.0,0.0,45.4
1.0,0.0,60.25
1.0,0.0,38.75
1.0,3.28,19.68
3.0,2.0,15.6
1.0,5.94,35.64
1.0,4.68,28.08
1.0,3.42,20.52
1.0,0.94,10.34
2.0,0.0,17.1
2.0,4.0,35.8
1.0,5.13,22.23
3.0,3.1,18.8
1.0,3.2,16.1
1.0,4.12,24.72
1.0,0.0,14.3
1.0,16.11,98.41
3.0,0.0,82.3
3.0,12.45,76.45
