passenger_count,tip_amount,total_amount
1.0,5.96,35.76
1.0,5.01,55.11
1.0,0.0,15.1
1.0,4.3,21.5
2.0,3.0,50.25
1.0,16.61,101.41
1.0,0.0,71.0
1.0,5.0,92.3
2.0,5.68,34.08
1.0,3.72,22.32
2.0,13.0,100.3
1.0,3.0,23.7
1.0,4.56,27.36
1.0,2.08,26.98
1.0,3.1,23.8
2.0,0.0,26.3
1.0,3.58,21.48
1.0,6.52,39.12
4.0,0.0,38.2
1.0,4.55,27.35
1.0,0.0,20.0
2.0,0.0,33.3
1.0,4.65,23.25
1.0,1.0,26.6
1.0,17.11,102.66
1.0,0.0,10.2
1.0,4.11,17.81
1.0,3.08,15.38
1.0,4.42,26.52
3.0,4.3,26.0
1.0,0.0,-72.05
1.0,0.0,72.05
1.0,17.11,104.41
1.0,7.17,32.82
1.0,12.19,74.89
1.0,0.0,18.6
1.0,2.0,87.55
1.0,2.46,14.76
2.0,3.02,18.12
1.0,5.0,35.5
2.0,0.0,39.55
1.0,2.0,23.4
1.0,0.0,14.4
1.0,1.6,16.0
2.0,0.0,50.8
3.0,5.0,59.25
2.0,3.86,23.16
2.0,0.0,-15.8
2.0,0.0,15.8
1.0,5.12,30.72
5.0,5.4,32.4
1.0,9.46,56.76
1.0,2.45,14.75
1.0,0.0,17.9
1.0,0.0,15.1
2.0,0.0,87.3
1.0,1.0,23.1
1.0,7.64,45.84
2.0,13.02,79.87
2.0,0.0,16.5
4.0,5.12,30.72
1.0,10.0,97.3
1.0,0.0,53.6
1.0,4.14,24.84
1.0,2.32,13.92
1.0,0.0,87.3
2.0,0.9,18.8
1.0,4.0,31.0
1.0,2.6,15.6
1.0,0.0,18.6
1.0,4.42,26.52
1.0,2.0,22.7
1.0,0.0,25.6
3.0,3.55,21.45
1.0,2.55,15.45
1.0,3.14,18.84
2.0,1.0,13.9
3.0,0.0,34.55
1.0,2.0,24.7
2.0,16.11,98.41
1.0,3.28,19.68
1.0,2.0,12.1
1.0,0.0,9.7
