range_start,range_end,locationid,total
2020-01-01T00:00:00.000-08:00,2020-05-01T00:00:00.000-07:00,"",0
2020-05-01T00:00:00.000-07:00,2020-09-01T00:00:00.000-07:00,"",0
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,263,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,163,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,231,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,48,3
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,170,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,137,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,237,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,249,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,90,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,75,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,42,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,43,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,142,2
