range_start,range_end,locationid,total
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,40,2052
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,37,1495
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,84,1
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,219,1136
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,140,272583
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,264,125796
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,249,275559
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,160,195
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,19,155
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,58,17
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,102,151
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,21,288
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,145,11535
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,96,23
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,167,471
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,256,4981
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,71,461
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,98,108
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,166,72936
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,213,734
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,159,746
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,44,114
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,107,306390
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,114,154668
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,26,473
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,247,1147
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,67,159
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,7,8174
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,210,476
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,81,254
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,61,2335
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,233,160048
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,54,219
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,95,1308
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,205,678
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,22,304
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,49,1971
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,10,3213
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,220,461
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,136,546
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,111,12
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,94,206
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,48,397661
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,228,745
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,232,16320
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,85,366
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,14,712
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,65,8815
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,20,233
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,240,59
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,128,69
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,218,510
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,206,11
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,177,549
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,231,171049
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,83,531
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,25,5639
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,73,81
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,198,441
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,259,228
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,237,604031
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,179,2676
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,251,7
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,118,53
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,227,189
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,173,248
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,8,85
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,226,10886
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,144,104423
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,2,9
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,181,4746
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,5,180
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,134,851
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,192,103
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,28,733
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,162,405417
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,72,627
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,42,14417
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,175,99
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,252,140
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,79,339053
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,242,646
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,64,385
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,59,4
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,137,168065
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,221,16
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,138,323333
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,33,7380
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,112,2814
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,47,384
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,70,45415
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,122,138
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,86,516
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,50,93645
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,222,383
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,238,285937
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,91,645
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,187,11
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,68,315473
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,80,2644
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,208,224
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,97,5385
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,248,286
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,245,13
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,176,4
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,105,5
