range_start,range_end,locationid,total
2020-01-01T00:00:00.000-08:00,2020-05-01T00:00:00.000-07:00,"",0
2020-05-01T00:00:00.000-07:00,2020-09-01T00:00:00.000-07:00,"",0
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,238,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,236,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,226,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,17,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,239,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,68,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,213,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,74,2
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,166,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,137,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,200,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,233,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,243,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,79,1
2020-09-01T00:00:00.000-07:00,2021-01-01T00:00:00.000-08:00,229,1
