range_start,range_end,locationid,total
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,17,9960
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,249,106565
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,121,2485
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,174,3395
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,170,202505
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,151,91241
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,168,11277
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,108,1326
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,166,60838
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,208,2242
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,3,1532
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,230,86095
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,173,2195
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,231,83910
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,106,2347
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,145,18589
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,30,63
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,209,13184
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,262,122616
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,117,2557
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,181,14487
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,228,5089
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,191,2235
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,31,807
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,46,301
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,60,1836
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,22,2464
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,6,107
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,14,5800
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,25,9905
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,43,96547
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,47,4067
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,45,13754
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,224,28335
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,37,8166
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,101,864
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,204,54
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,55,3741
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,41,72802
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,89,8209
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,259,2151
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,21,1671
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,83,2498
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,39,6935
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,131,2326
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,5,135
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,136,2735
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,162,152290
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,65,8603
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,197,4884
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,34,1023
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,252,1352
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,236,358578
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,156,206
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,67,1366
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,32,2046
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,258,2589
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,38,1393
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,140,178057
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,158,50756
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,157,2606
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,63,2574
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,62,4653
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,29,1936
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,74,91499
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,251,117
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,165,3673
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,171,1530
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,119,3757
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,4,31583
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,214,143
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,233,102903
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,139,1872
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,96,395
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,218,2811
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,100,86148
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,188,8482
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,118,209
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,85,2433
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,52,3997
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,154,181
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,51,4377
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,91,4655
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,213,4843
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,186,122225
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,122,1115
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,177,3999
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,176,39
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,193,7980
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,160,2581
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,93,1245
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,240,670
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,57,298
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,229,152892
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,7,21631
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,59,117
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,112,10689
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,150,1064
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,256,11566
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,163,127631
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,116,27194
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,133,2323
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,227,2323
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,102,1738
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,26,4144
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,200,2667
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,226,16049
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,221,208
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,141,218747
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,146,6330
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,149,2179
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,128,628
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,36,4119
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,255,10475
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,245,78
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,222,2286
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,81,2064
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,79,121582
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,248,2182
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,212,2191
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,216,5217
