range_start,range_end,locationid,total
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,74,84986
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,12,5527
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,124,2732
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,7,38197
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,11,836
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,217,5623
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,251,206
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,75,152989
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,193,14036
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,24,44644
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,36,8947
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,55,1881
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,31,731
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,238,293365
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,128,736
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,226,24353
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,21,1399
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,216,10647
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,23,670
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,62,5844
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,148,124423
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,264,119498
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,82,7730
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,147,1160
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,90,177713
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,178,1179
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,159,3025
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,136,1575
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,240,439
