range_start,range_end,locationid,total
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,107,162920
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,63,1240
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,93,615
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,212,1289
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,169,1816
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,231,72902
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,60,825
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,133,853
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,2,6
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,71,2144
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,23,224
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,76,6785
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,254,2264
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,187,38
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,5,66
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,229,154035
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,159,3148
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,109,15
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,15,368
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,28,1120
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,40,1335
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,70,14734
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,207,482
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,135,1164
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,11,490
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,246,89889
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,184,52
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,9,663
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,66,1349
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,94,768
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,247,2737
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,44,475
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,87,25882
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,120,123
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,249,124872
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,106,945
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,45,6923
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,67,515
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,158,28307
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,29,1065
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,4,6570
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,233,90511
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,188,4760
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,128,231
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,79,134273
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,49,2598
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,53,313
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,42,25601
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,75,108587
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,182,1618
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,111,8
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,82,2706
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,243,2651
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,61,6188
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,99,24
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,18,1475
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,172,30
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,113,94337
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,237,365418
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,73,189
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,257,594
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,194,383
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,190,271
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,253,43
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,152,10649
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,205,2419
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,88,13192
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,142,215180
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,195,806
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,90,129600
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,72,2909
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,244,16806
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,189,1250
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,225,3591
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,114,57606
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,48,175907
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,239,222647
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,143,99656
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,202,509
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,127,1691
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,261,19926
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,179,2877
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,137,133142
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,232,8690
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,97,5825
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,241,1103
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,8,42
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,78,1802
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,145,6273
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,262,116081
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,117,999
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,181,4365
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,228,2691
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,191,1073
2021-01-01T00:00:00.000-08:00,2021-05-01T00:00:00.000-07:00,25,4337
