range_start,range_end,locationid,total
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,68,318392
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,185,301
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,180,225
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,8,51
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,256,4205
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,262,173773
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,187,8
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,159,825
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,248,293
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,70,57540
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,229,250532
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,135,752
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,263,256538
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,31,74
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,101,214
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,161,580648
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,158,105454
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,115,15
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,35,929
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,102,225
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,184,10
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,22,380
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,133,365
