stop_id,stop_name,stop_lat,stop_lon,taxi_count,passenger_count
128,34 St - Penn Station,40.750373,-73.991057,7868,12768
125,59 St - Columbus Circle,40.768247,-73.98192900000002,3942,6592
A24,59 St - Columbus Circle,40.768296,-73.981736,3084,5230
626,86 St,40.779492,-73.955589,3155,4965
A27,42 St - Port Authority Bus Terminal,40.757308,-73.98973499999998,2949,4940
629,59 St,40.762526,-73.967967,2974,4845
123,72 St,40.778453000000006,-73.98196999999999,2453,3969
L01,8 Av,40.739777,-74.002578,2364,3938
D18,23 St,40.742878000000005,-73.992821,2337,3871
133,Christopher St - Sheridan Sq,40.733422,-74.00290600000001,2248,3838
633,28 St,40.74307,-73.98426399999998,2287,3764
A28,34 St - Penn Station,40.752287,-73.993391,2249,3709
630,51 St,40.757107,-73.97191999999998,2163,3636
631,Grand Central - 42 St,40.751776,-73.976848,2166,3622
D17,34 St - Herald Sq,40.749719,-73.98782299999996,2104,3525
R14,57 St - 7 Av,40.764664,-73.98065799999996,2028,3489
R17,34 St - Herald Sq,40.749567,-73.98795,2094,3477
A25,50 St,40.762456,-73.985984,1970,3349
723,Grand Central - 42 St,40.751431,-73.97604100000001,2057,3333
L02,6 Av,40.737335,-73.996786,1986,3268
634,23 St,40.73986400000001,-73.986599,2023,3208
124,66 St - Lincoln Center,40.77344,-73.98220900000001,1835,2993
B10,57 St,40.763972,-73.97745,1818,2966
635,14 St - Union Sq,40.734673,-73.989951,1772,2950
L03,Union Sq - 14 St,40.734789,-73.99073,1685,2861
632,33 St,40.746081,-73.982076,1702,2834
638,Spring St,40.722301,-73.997141,1699,2820
A31,14 St,40.740893,-74.00168999999998,1658,2741
130,23 St,40.744081,-73.99565699999998,1549,2492
129,28 St,40.74721500000001,-73.99336499999998,1488,2431
627,77 St,40.77362,-73.959874,1483,2409
F11,Lexington Av/53 St,40.757552,-73.96905500000001,1378,2307
D15,47-50 Sts - Rockefeller Ctr,40.758663,-73.981329,1374,2274
901,Grand Central - 42 St,40.752769,-73.979189,1456,2259
R19,23 St,40.741303,-73.989344,1356,2242
D14,7 Av,40.762862,-73.981637,1343,2232
B08,Lexington Av/63 St,40.764629,-73.966113,1409,2186
122,79 St,40.783934,-73.979917,1346,2160
R15,49 St,40.759901,-73.984139,1230,2158
F15,Delancey St,40.71861099999999,-73.98811399999998,1325,2126
Q04,86 St,40.777891,-73.95178699999998,1277,2110
127,Times Sq - 42 St,40.75529,-73.98749499999998,1256,2103
121,86 St,40.788644,-73.976218,1235,2054
637,Bleecker St,40.725915,-73.994659,1136,1940
D19,14 St,40.738228,-73.99620899999998,1214,1934
R18,28 St,40.745494,-73.988691,1097,1922
A32,W 4 St,40.732338,-74.000495,1158,1887
120,96 St,40.793919,-73.972323,1092,1849
725,Times Sq - 42 St,40.755477,-73.987691,1111,1838
R21,8 St - NYU,40.730328,-73.99262899999998,1149,1837
126,50 St,40.761728000000005,-73.983849,1031,1828
131,18 St,40.741040000000005,-73.997871,1125,1818
902,Times Sq - 42 St,40.755983,-73.98622900000002,1021,1795
628,68 St - Hunter College,40.768141,-73.96387,1133,1795
D21,Broadway-Lafayette St,40.725297,-73.996204,1075,1745
636,Astor Pl,40.730054,-73.99106999999998,1125,1730
R13,5 Av/59 St,40.764811,-73.973347,966,1682
118,Cathedral Pkwy,40.803967,-73.966847,971,1594
A30,23 St,40.745906,-73.998041,902,1573
132,14 St,40.737826,-74.000201,1021,1545
A36,Chambers St,40.714111,-74.00858499999998,961,1523
D16,42 St - Bryant Pk,40.754222,-73.98456899999998,856,1477
625,96 St,40.785672,-73.95107,887,1454
M19,Bowery,40.72028,-73.993915,855,1410
A34,Canal St,40.720824,-74.005229,816,1406
Q03,72 St,40.768799,-73.95842399999998,831,1396
119,103 St,40.799446,-73.968379,836,1378
